,0
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,0
8,1
9,1
10,1
11,0
12,1
13,0
14,1
15,1
16,0
17,1
18,0
19,1
20,1
21,0
22,0
23,1
24,0
25,1
26,0
27,1
28,1
29,1
30,0
31,0
32,0
33,0
34,1
35,0
36,0
37,1
38,0
39,1
40,1
41,0
42,0
43,1
44,1
45,1
46,0
47,0
48,0
49,0
50,0
51,0
52,1
53,1
54,1
55,0
56,1
57,1
58,0
59,0
60,1
61,1
62,1
63,0
64,0
65,1
66,1
67,0
68,1
69,1
70,0
71,0
72,0
73,0
74,0
75,0
76,1
77,0
78,1
79,0
80,0
81,0
82,1
83,0
84,0
85,1
86,1
87,1
88,1
89,1
90,1
91,0
92,0
93,1
94,1
95,0
96,0
97,1
98,0
99,1
100,1
101,1
102,1
103,0
104,1
105,0
106,0
107,1
108,1
109,0
110,0
111,0
112,0
113,0
114,0
115,1
116,1
117,1
118,1
119,0
120,1
121,1
122,1
123,1
124,0
125,1
126,0
127,1
128,0
129,0
130,0
131,0
132,1
133,1
134,1
135,0
136,1
137,1
138,0
139,0
140,1
141,1
142,1
143,0
144,1
145,0
146,1
147,1
148,1
149,1
150,0
151,0
152,0
153,1
154,1
155,0
156,1
157,0
158,1
159,0
160,1
161,1
162,0
163,1
164,1
165,1
166,0
167,1
168,1
169,1
170,0
171,0
172,0
173,0
174,1
175,1
176,0
177,0
178,1
179,1
180,1
181,1
182,0
183,0
184,1
185,1
186,0
187,0
188,1
189,1
190,1
191,0
192,0
193,1
194,0
195,1
196,1
197,0
198,0
199,1
200,1
201,0
202,0
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,1
219,0
220,1
221,0
222,1
223,0
224,1
225,1
226,1
227,1
228,1
229,0
230,0
231,1
232,1
233,1
234,1
235,0
236,0
237,1
238,1
239,1
240,1
241,0
242,1
243,1
244,1
245,1
246,0
247,1
248,0
249,0
250,0
251,1
252,0
253,0
254,0
255,1
256,0
257,0
258,0
259,1
260,0
261,1
262,1
263,0
264,0
265,1
266,0
267,1
268,1
269,1
270,0
271,1
272,0
273,1
274,1
275,1
276,0
277,1
278,1
279,0
280,1
281,0
282,1
283,1
284,1
285,1
286,0
287,1
288,0
289,1
290,1
291,0
292,1
293,0
294,1
295,1
296,0
297,0
298,0
299,0
300,1
301,1
302,1
303,0
304,1
305,1
306,0
307,0
308,1
309,1
310,0
311,0
312,1
313,1
314,1
315,1
316,0
317,0
318,0
319,1
320,0
321,0
322,1
323,0
324,0
325,1
326,1
327,1
328,0
329,0
330,1
331,0
332,0
333,1
334,1
335,0
336,1
337,0
338,0
339,0
340,1
341,1
342,1
343,1
344,1
345,0
346,1
347,1
348,0
349,0
350,0
351,1
352,1
353,0
354,1
355,1
356,0
357,1
358,1
359,0
360,0
361,1
362,0
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,0
371,1
372,0
373,0
374,1
375,0
376,1
377,1
378,1
379,1
380,1
381,1
382,0
383,1
384,1
385,0
386,0
387,0
388,1
389,1
390,0
391,1
392,0
393,0
394,0
395,1
396,0
397,1
398,0
399,0
400,1
401,1
402,1
403,0
404,1
405,1
406,0
407,1
408,1
409,0
410,0
411,0
412,1
413,0
414,0
415,0
416,0
417,1
418,1
419,0
420,0
421,0
422,0
423,0
424,1
425,0
426,1
427,0
428,1
429,0
430,0
431,1
432,0
433,1
434,1
435,0
436,0
437,1
438,1
439,0
440,0
441,1
442,1
443,0
444,1
445,1
446,1
447,0
448,0
449,0
450,1
451,0
452,1
453,1
454,1
455,0
456,1
457,0
458,1
459,0
460,0
461,0
462,0
463,1
464,0
465,1
466,0
467,0
468,0
469,1
470,0
471,0
472,0
473,0
474,1
475,1
476,0
477,1
478,0
479,0
480,0
481,1
482,1
483,0
484,1
485,0
486,1
487,0
488,0
489,0
490,1
491,1
492,1
493,0
494,0
495,0
496,1
497,0
498,0
499,0
500,1
501,1
502,1
503,1
504,0
505,0
506,0
507,0
508,1
509,1
510,1
511,0
512,0
513,0
514,0
515,1
516,1
517,0
518,0
519,0
520,0
521,1
522,0
523,1
524,1
525,1
526,0
527,1
528,1
529,0
530,1
531,0
532,1
533,0
534,1
535,0
536,1
537,1
538,1
539,1
540,1
541,1
542,1
543,1
544,0
545,0
546,1
547,0
548,1
549,1
550,1
551,0
552,1
553,1
554,1
555,0
556,0
557,1
558,1
559,0
560,1
561,1
562,0
563,0
564,1
565,1
566,0
567,1
568,0
569,1
570,1
571,0
572,0
573,1
574,0
575,0
576,1
577,0
578,0
579,1
580,1
581,1
582,0
583,1
584,0
585,1
586,1
587,0
588,0
589,1
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,1
598,0
599,0
600,1
601,0
602,1
603,0
604,1
605,1
606,0
607,0
608,1
609,0
610,0
611,1
612,0
613,1
614,1
615,1
616,1
617,0
618,1
619,1
620,1
621,1
622,1
623,1
624,0
625,0
626,1
627,1
628,1
629,0
630,0
631,1
632,0
633,0
634,0
635,0
636,0
637,1
638,0
639,1
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,1
652,1
653,0
654,0
655,0
656,1
657,0
658,1
659,1
660,0
661,1
662,0
663,0
664,0
665,0
666,0
667,0
668,1
669,1
670,1
671,0
672,1
673,0
674,0
675,0
676,0
677,0
678,1
679,0
680,0
681,0
682,0
683,1
684,0
685,1
686,1
687,1
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,1
698,0
699,0
700,0
701,0
702,1
703,0
704,0
705,0
706,1
707,1
